matchID,matchDuration,win,champID,champName,position,lane,role,side,dragons,heralds,barons,towers,kills,deaths,assists,vision,gold,level,minions,objDamage,turretDamage,champDamage,takenDamage,oppGold,oppLevel,oppMinions,gold@10,level@10,minions@10,oppGold@10,oppLevel@10,oppMinions@10
KR_6089907525,1172,False,711,Vex,MIDDLE,NONE,DUO,Blue,1,1,0,0,3,3,0,9,8093,12,158,1919,355,7832,9516,9349,12,144,3402,8,90,4405,8,80
KR_5370547495,1242778,False,20,Nunu,MIDDLE,TOP,DUO,Red,2,1,0,0,2,9,4,7,5520,11,67,0,0,4696,14183,9066,12,90,2827,7,38,5180,9,63
KR_5485815792,1955016,False,86,Garen,TOP,MIDDLE,SOLO,Blue,3,1,1,5,2,11,3,17,10220,15,146,6645,6645,4322,30993,12344,17,163,2481,8,44,3941,9,78
KR_5038502269,2046574,True,69,Cassiopeia,BOTTOM,MIDDLE,DUO,Blue,3,2,2,6,7,9,11,23,12186,15,161,18235,412,25207,24803,15358,16,206,3372,7,75,3383,7,70
KR_6074299953,1822,False,54,Malphite,TOP,TOP,SOLO,Blue,1,0,0,2,5,6,4,18,9829,14,133,409,0,13918,19652,12876,16,183,3687,8,45,4676,9,85
KR_5996115925,913,True,235,Senna,UTILITY,NONE,SUPPORT,Red,2,0,0,1,4,1,5,34,6373,9,22,3565,1740,6596,5745,4290,8,87,4299,7,13,3443,7,71
KR_6018379973,1674,True,145,Kaisa,BOTTOM,BOTTOM,CARRY,Red,3,1,1,9,8,4,7,30,12490,14,157,14401,3846,12952,15676,9668,13,210,3193,7,76,3950,7,92
KR_6047183989,1742,True,245,Ekko,JUNGLE,JUNGLE,NONE,Blue,4,1,1,6,3,4,13,15,11734,15,46,26107,707,9170,28824,10953,12,40,4928,7,63,4039,7,50
KR_5807169979,834,False,117,Lulu,JUNGLE,NONE,SUPPORT,Blue,0,0,0,2,1,5,5,1,3276,6,18,1504,1504,2763,9039,7174,10,115,2921,5,18,5886,9,111
KR_5872976958,1390,False,39,Irelia,TOP,TOP,SOLO,Blue,0,2,0,5,3,6,4,26,10755,14,210,4308,4308,8469,25491,10888,15,195,4386,8,88,3484,8,73
KR_5912576424,611,True,59,JarvanIV,JUNGLE,NONE,SUPPORT,Blue,1,1,0,0,3,0,5,4,4465,7,5,11034,0,3296,4464,3713,7,11,4465,7,57,3713,7,73
KR_5799824437,1563,True,91,Talon,MIDDLE,TOP,SOLO,Blue,3,2,1,11,6,6,5,12,10153,14,133,13648,3654,12333,18174,12907,16,207,4226,8,71,4090,8,77
KR_5328875627,1808634,False,7,Leblanc,MIDDLE,MIDDLE,SOLO,Red,0,0,0,2,1,5,3,20,8215,14,156,0,0,12186,18796,10311,15,126,2974,8,69,3686,8,60
KR_6099938748,1259,False,131,Diana,JUNGLE,TOP,SUPPORT,Red,0,1,0,2,10,5,4,13,10944,12,31,12819,1522,17244,18985,11573,13,35,5406,8,70,5226,8,58
KR_6044483766,1766,False,22,Ashe,UTILITY,BOTTOM,SUPPORT,Blue,2,1,0,3,3,12,13,52,8371,13,41,4752,0,16733,23909,11062,15,39,3523,6,7,3531,7,18
KR_5125921748,1704992,True,238,Zed,MIDDLE,MIDDLE,SOLO,Red,4,0,1,7,7,9,11,13,11876,15,181,6375,6148,21556,20548,10243,13,115,3993,9,91,3679,8,53
KR_6053707597,1720,False,54,Malphite,MIDDLE,MIDDLE,SOLO,Blue,0,1,0,3,3,7,10,26,9122,13,145,1390,1242,13581,22530,9567,15,93,3744,8,69,2859,8,35
KR_5268607606,1302517,True,36,DrMundo,JUNGLE,JUNGLE,NONE,Blue,1,1,0,7,0,2,9,15,6751,11,9,6695,1953,6649,18287,8264,12,22,3161,7,49,4483,7,58
KR_4953497713,1396890,True,37618237,Khazix,JUNGLE,JUNGLE,NONE,Red,3,1,1,10,16,3,10,10,13199,15,11,27093,477,26093,27089,7117,11,12,4849,8,67,3335,7,61
KR_5189838211,1234097,False,23,Tryndamere,TOP,TOP,SOLO,Red,0,0,0,1,3,5,2,15,6493,12,104,985,985,9440,17014,8472,13,146,3634,8,65,3871,9,78
KR_6078191718,1139,False,53,Blitzcrank,UTILITY,NONE,SUPPORT,Red,0,0,0,0,3,3,1,14,5411,7,18,0,0,2749,8446,5965,10,34,3029,5,10,2820,6,15
KR_5956927855,2222,True,81,Ezreal,BOTTOM,BOTTOM,CARRY,Red,1,0,1,7,17,11,16,28,19107,18,173,25238,5747,51174,38228,18330,17,219,3884,6,62,3899,7,60
KR_6058868226,928,False,91,Talon,JUNGLE,NONE,SUPPORT,Red,0,0,0,0,0,4,0,22,4328,8,6,8689,0,2103,13810,9214,11,14,3204,7,64,6249,8,62
KR_5079828582,1738838,False,3,Galio,MIDDLE,TOP,DUO,Red,1,0,0,3,7,8,12,16,11016,14,142,3686,0,11949,25581,11522,15,141,4053,8,70,3733,9,68
